,day,cage,mouse,trialname1,trialname2,trialtype,vectorangle,vectordis
6,Day30,C4620083,M2,PeanutButter,Vanilla,NonTMT,96.0,102.49794049271591
7,Day30,C4620083,M2,PeanutButter,PeanutButter,NonTMT,86.0,103.95522097292303
8,Day30,C4620083,M2,PeanutButter,TMT,TMT,86.0,81.21057252660559
0,Day30,C4620083,M3,Water,Vanilla,NonTMT,71.0,88.78597321176207
1,Day30,C4620083,M3,Water,PeanutButter,NonTMT,87.0,103.21471581373464
2,Day30,C4620083,M3,Water,TMT,TMT,102.0,103.06980896035373
3,Day30,C4620083,M3,Vanilla,Vanilla,NonTMT,86.0,103.41089520861294
4,Day30,C4620083,M3,Vanilla,PeanutButter,NonTMT,82.0,97.05451607976065
5,Day30,C4620083,M3,Vanilla,TMT,TMT,95.0,95.99491128064282
6,Day30,C4620083,M3,PeanutButter,Vanilla,NonTMT,98.0,99.98036146243656
7,Day30,C4620083,M3,PeanutButter,PeanutButter,NonTMT,95.0,96.02274048236127
8,Day30,C4620083,M3,PeanutButter,TMT,TMT,83.0,72.19711489622937
0,Day30,C4620083,M4,Water,Vanilla,NonTMT,90.0,123.19169142328363
1,Day30,C4620083,M4,Water,PeanutButter,NonTMT,90.0,135.07261256317918
2,Day30,C4620083,M4,Water,TMT,TMT,90.0,121.22665656094152
3,Day30,C4620083,M4,Vanilla,Vanilla,NonTMT,84.0,128.8277982625626
4,Day30,C4620083,M4,Vanilla,PeanutButter,NonTMT,97.0,155.42076888100047
5,Day30,C4620083,M4,Vanilla,TMT,TMT,93.0,137.96239486802054
6,Day30,C4620083,M4,PeanutButter,Vanilla,NonTMT,94.0,125.14728544664844
7,Day30,C4620083,M4,PeanutButter,PeanutButter,NonTMT,88.0,132.25307029207872
8,Day30,C4620083,M4,PeanutButter,TMT,TMT,82.0,111.21179278903892
0,Day30,C4620081,M1,Water,Vanilla,NonTMT,89.0,88.45345385729765
1,Day30,C4620081,M1,Water,PeanutButter,NonTMT,92.0,100.32526614455288
2,Day30,C4620081,M1,Water,TMT,TMT,89.0,88.68407896726791
3,Day30,C4620081,M1,Vanilla,Vanilla,NonTMT,92.0,100.5377223910364
4,Day30,C4620081,M1,Vanilla,PeanutButter,NonTMT,87.0,104.34137103351266
5,Day30,C4620081,M1,Vanilla,TMT,TMT,91.0,99.38065697597528
6,Day30,C4620081,M1,PeanutButter,Vanilla,NonTMT,87.0,86.90853371508564
7,Day30,C4620081,M1,PeanutButter,PeanutButter,NonTMT,93.0,101.33407008475581
8,Day30,C4620081,M1,PeanutButter,TMT,TMT,85.0,85.97245955959413
0,Day30,C4620081,M2,Water,Vanilla,NonTMT,92.0,89.3331582284817
1,Day30,C4620081,M2,Water,PeanutButter,NonTMT,94.0,98.79798598814642
2,Day30,C4620081,M2,Water,TMT,TMT,85.0,80.3512170728234
3,Day30,C4620081,M2,Vanilla,Vanilla,NonTMT,93.0,97.78298666982128
4,Day30,C4620081,M2,Vanilla,PeanutButter,NonTMT,84.0,96.56803705674905
5,Day30,C4620081,M2,Vanilla,TMT,TMT,93.0,94.53222339431167
6,Day30,C4620081,M2,PeanutButter,Vanilla,NonTMT,87.0,82.1892374893046
7,Day30,C4620081,M2,PeanutButter,PeanutButter,NonTMT,88.0,90.2511832416179
8,Day30,C4620081,M2,PeanutButter,TMT,TMT,93.0,82.73050493111309
0,Day30,C4620081,M3,Water,Vanilla,NonTMT,66.0,58.090223683679454
1,Day30,C4620081,M3,Water,PeanutButter,NonTMT,79.0,81.6838716108117
2,Day30,C4620081,M3,Water,TMT,TMT,103.0,77.13991225871112
3,Day30,C4620081,M3,Vanilla,Vanilla,NonTMT,79.0,81.60609882001286
4,Day30,C4620081,M3,Vanilla,PeanutButter,NonTMT,80.0,94.34654039412871
5,Day30,C4620081,M3,Vanilla,TMT,TMT,98.0,91.60439748400057
6,Day30,C4620081,M3,PeanutButter,Vanilla,NonTMT,103.0,77.32955591783713
7,Day30,C4620081,M3,PeanutButter,PeanutButter,NonTMT,100.0,93.01144962976429
8,Day30,C4620081,M3,PeanutButter,TMT,TMT,83.0,60.2213192811701
0,Day30,C4620081,M4,Water,Vanilla,NonTMT,91.0,160.6650334826885
1,Day30,C4620081,M4,Water,PeanutButter,NonTMT,89.0,168.07613174898782
2,Day30,C4620081,M4,Water,TMT,TMT,91.0,150.13006757269028
3,Day30,C4620081,M4,Vanilla,Vanilla,NonTMT,90.0,168.57486303244215
4,Day30,C4620081,M4,Vanilla,PeanutButter,NonTMT,89.0,176.65348565253623
5,Day30,C4620081,M4,Vanilla,TMT,TMT,91.0,160.3797001341788
6,Day30,C4620081,M4,PeanutButter,Vanilla,NonTMT,91.0,150.3409288839971
7,Day30,C4620081,M4,PeanutButter,PeanutButter,NonTMT,92.0,162.19664447976083
8,Day30,C4620081,M4,PeanutButter,TMT,TMT,88.0,135.5571201504593
0,Day37,C4620083,M2,Water,Vanilla,NonTMT,81.0,97.3748467490609
1,Day37,C4620083,M2,Water,PeanutButter,NonTMT,91.0,119.20363114459505
2,Day37,C4620083,M2,Water,TMT,TMT,97.0,113.78974362616424
3,Day37,C4620083,M2,Vanilla,Vanilla,NonTMT,92.0,120.5159157900874
4,Day37,C4620083,M2,Vanilla,PeanutButter,NonTMT,87.0,125.88032875228447
5,Day37,C4620083,M2,Vanilla,TMT,TMT,90.0,119.7724168542193
6,Day37,C4620083,M2,PeanutButter,Vanilla,NonTMT,98.0,114.12796041184596
7,Day37,C4620083,M2,PeanutButter,PeanutButter,NonTMT,93.0,122.89504638657641
8,Day37,C4620083,M2,PeanutButter,TMT,TMT,82.0,100.65063754169812
0,Day37,C4620083,M4,Water,Vanilla,NonTMT,88.0,87.76784694775857
1,Day37,C4620083,M4,Water,PeanutButter,NonTMT,85.0,102.6451556199361
2,Day37,C4620083,M4,Water,TMT,TMT,87.0,83.35694566365098
3,Day37,C4620083,M4,Vanilla,Vanilla,NonTMT,84.0,102.45193839988465
4,Day37,C4620083,M4,Vanilla,PeanutButter,NonTMT,83.0,114.70470829588717
5,Day37,C4620083,M4,Vanilla,TMT,TMT,94.0,107.95121988508355
6,Day37,C4620083,M4,PeanutButter,Vanilla,NonTMT,93.0,87.5730933187045
7,Day37,C4620083,M4,PeanutButter,PeanutButter,NonTMT,95.0,108.7314536474698
8,Day37,C4620083,M4,PeanutButter,TMT,TMT,91.0,81.90850042860818
0,Day37,C4620081,M1,Water,Vanilla,NonTMT,72.0,110.26526812284607
1,Day37,C4620081,M1,Water,PeanutButter,NonTMT,96.0,138.35536565578002
2,Day37,C4620081,M1,Water,TMT,TMT,93.0,121.29273464614184
